Link,cout,propriete
Macon#51,500.0,costByTruck
Macon#54,,costByTruck
Macon#55,432.0,costByTruck
Macon#57,470.0,costByTruck
Macon#62,615.85,costByTruck
Macon#63,302.88,costByTruck
Macon#67,445.0,costByTruck
Macon#68,416.0,costByTruck
Macon#69,220.0,costByTruck
Macon#72,673.0,costByTruck
Macon#74,329.0,costByTruck
Macon#77,555.0,costByTruck
Macon#78,555.0,costByTruck
Macon#79,670.0,costByTruck
Macon#80,565.0,costByTruck
Macon#82,825.0,costByTruck
Macon#83,680.0,costByTruck
Macon#84,538.0,costByTruck
Macon#85,732.0,costByTruck
Macon#86,552.0,costByTruck
Macon#89,,costByTruck
Macon#91,555.0,costByTruck
Macon#94,555.0,costByTruck
Macon#95,,costByTruck
Macon#Amberieu,,costByTruck
Macon#Anvers,550.0,costByTruck
Macon#Fos,582.0,costByTruck
Macon#Ostende,550.0,costByTruck
Monteux#1,287.0,costByTruck
Monteux#13,223.0,costByTruck
Monteux#16,820.0,costByTruck
Monteux#30,275.0,costByTruck
Monteux#31,510.0,costByTruck
Monteux#33,702.0,costByTruck
Monteux#34,359.0,costByTruck
Monteux#38,299.0,costByTruck
Monteux#59,800.0,costByTruck
Monteux#68,623.0,costByTruck
Monteux#69,290.0,costByTruck
Monteux#77,640.0,costByTruck
Monteux#83,397.5,costByTruck
Monteux#84,214.5,costByTruck
Monteux#86,881.0,costByTruck
Monteux#91,640.0,costByTruck
Nan#Nan,,costByTruck
Ostende#Fos,1390.0,costByTruck
Ostende#Thionville,490.0,costByTruck
Ostende#Vinay,1245.0,costByTruck
Rennes#14,335.0,costByTruck
Rennes#22,251.8,costByTruck
Rennes#27,447.50000000000006,costByTruck
Rennes#29,,costByTruck
Rennes#35,222.0,costByTruck
Rennes#37,400.0,costByTruck
Rennes#44,220.0,costByTruck
Rennes#49,260.0,costByTruck
Rennes#51,650.0,costByTruck
Rennes#56,,costByTruck
Rennes#59,570.0,costByTruck
Rennes#68,739.9999999999999,costByTruck
Rennes#69,740.0,costByTruck
Rennes#72,319.0,costByTruck
Rennes#76,500.0,costByTruck
Rennes#77,437.5,costByTruck
Rennes#78,409.5,costByTruck
Rennes#79,416.0,costByTruck
Rennes#80,,costByTruck
Rennes#82,,costByTruck
Rennes#91,441.0,costByTruck
Rennes#94,439.5,costByTruck
Rennes#95,477.0,costByTruck
